! This is a TEST FIT.
! new fit to optics runs 1540, 1544, 5160, 5161, 5162, 5163 (xptar, ytar, yptar)
! the delta opt column is inherited from th 6.59 GeV optimized matrix
! (hms_newfit_6_59.dat)
! i.e., no delta opt!
! the zeroth order elements:
!  0.000711802209 -5.62031904e-05  0.000584959117               0 00000
! --------------------------------------------
! test fit May 2026:
!
!   0.000680560163 -0.000161495522   0.00060540742               0 00000
 --------------------------------------------

      0.335486607     0.016244911  -0.00539949362     0.245277181 10000
      -3.03893783    -0.131426319     0.040235294     0.179237254 01000
    -0.0134566968    -0.459601627     0.281383053    0.0157622219 00100
      0.185129859    0.0379590558     -2.34688356   -0.0277481136 00010
     -0.332018278   -0.0227654686    0.0132170361    -0.317631939 20000
       2.40714483   -0.0214994722   0.00486663803      3.22944879 11000
       5.08133756      1.62195429    -0.433302966     0.996249838 02000
     -0.320142942      1.57815979    -0.460731097    -0.069868989 10100
        2.3949258     0.357040945     0.158753731    -0.272737203 01100
     0.0711740892      0.06150569    -0.119082838   -0.0177958644 00200
       0.74264738     -20.7474245      5.54673914    -0.179642064 10010
      -5.82623102     -15.8806979      3.10577794      5.14340828 01010
     -0.761811481   -0.0485030571      1.28174587     0.456284698 00110
       1.00614437    -0.461033951     -2.17928675     -6.40792036 00020
       1.17109194     0.159929544  -0.00951101661     0.936834319 30000
      -18.9910985   -0.0909715815     -0.58481183     -13.5405899 21000
       90.8970092     -10.1841471      5.71208764      51.8797642 12000
      -147.462045      43.1516196     -16.1739642      -20.498985 03000
       3.25454422     -5.47443822      1.09715147   -0.0312542194 20100
       -31.556551      56.9221819     -12.0801674     0.284008412 11100
       67.8984471     -128.202362      24.7762576      3.95564331 02100
     -0.677726725    -0.578558017     0.939184306     0.954315611 10200
       2.83919267     -10.8357944      2.51655956     -7.06883817 01200
       2.32121138     -2.77104957      1.57813676    -0.358205667 00300
      -26.5332235      70.2991841     -16.0511013     -2.74488175 20010
       242.034935     -737.073312      171.047296      10.6819836 11010
       -445.28553      1733.03539     -368.925348      -46.776265 02010
        3.0307035     -31.0576583     -3.11707019     0.434687181 10110
       35.0116684      351.268233     -67.7073779      25.6924121 01110
      -26.8613137      99.9166275     -42.3594538      -3.1559352 00210
        27.976407      54.5814787      20.8678956      31.9077575 10020
      -552.318459      -329.01407     -48.7084119     -467.898102 01020
       142.376762     -1180.29127      363.357198       34.179037 00120
       -425.23385      5413.09865     -1276.32303     -71.5085362 00030
      -5.61322083   -0.0353242071    -0.407256268     -2.30278775 40000
       119.580979     -6.78604703      10.7226842      58.0248309 31000
      -880.455081      140.960831       -111.3264     -491.562374 22000
       2521.37405     -869.343773       441.27009      1718.29721 13000
      -1272.51293      1396.40897      -592.82147     -1950.10403 04000
       -9.7528387      4.98548029     0.588655671     -1.46212838 30100
       143.689429     -67.9094346     -5.91375455      47.2957535 21100
      -559.657788       44.400703      67.1897797     -432.372956 12100
       415.889087      876.872316     -289.837643      1323.39948 03100
      -1.27778141      11.1498236     -5.77341993     -1.00472512 20200
       39.1177972     -48.8798604      42.1013601      16.7434624 11200
      -261.646245      64.7416725     -107.007514     -67.2731587 02200
      -16.7477633     -3.62805458      3.93816737      4.98155457 10300
       35.8376404      30.9773277     -16.0102422     -37.4367181 01300
     -0.616195599      10.6013103     -6.88936787      3.83526317 00400
       109.946401     -139.769828      21.6291479      20.4063547 30010
        -1418.895      1996.06803     -343.401632     -521.870646 21010
       4052.66465     -6160.92917      1179.58744      4021.85608 12010
